list,songs
1,Anti-Hero
2,Lavender Haze
3,Maroon
4,Snow On The Beach
5,Midnight Rain
6,Bejeweled
7,Question...?
8,"You're On Your Own, Kid"
9,Karma
10,Vigilante Shit
11,Unholy
12,Bad Habit
13,Mastermind
14,Labyrinth
15,Sweet Nothing
16,As It Was
17,I Like You (A Happier Song)
18,I Ain't Worried
19,You Proof
20,"Would've, Could've, Should've"
21,Bigger Than The Whole Sky
22,Super Freaky Girl
23,Sunroof
24,I'm Good (Blue)
25,Under The Influence
26,The Great War
27,Vegas
28,Something In The Orange
29,Wasted On You
30,Jimmy Cooks
31,Wait For U
32,Paris
33,High Infidelity
34,Tomorrow 2
35,Titi Me Pregunto
36,About Damn Time
37,The Kind Of Love We Make
38,Late Night Talking
39,Cuff It
40,She Had Me At Heads Carolina
41,Glitch
42,Me Porto Bonito
43,Die For You
44,California Breeze
45,Dear Reader
46,Forever
47,Hold Me Closer
48,Just Wanna Rock
49,5 Foot 9
50,Unstoppable
51,Thank God
52,Fall In Love
53,Rock And A Hard Place
54,Golden Hour
55,Heyy
56,Half Of Me
57,Until I Found You
58,Victoria’s Secret
59,Son Of A Sinner
60,Star Walkin' (League Of Legends Worlds Anthem)
61,Romantic Homicide
62,What My World Spins Around
63,Real Spill
64,Don't Come Lookin'
65,Monotonia
66,Stand On It
67,Never Hating
68,Wishful Drinking
69,No Se Va
70,Free Mind
71,Not Finished
72,Music For A Sushi Restaurant
73,Pop Out
74,Staying Alive
75,Poland
76,Whiskey On You
77,Billie Eilish.
78,Betty (Get Money)
79,2 Be Loved (Am I Ready)
80,Wait In The Truck
81,All Mine
82,La Bachata
83,Last Last
84,Glimpse Of Us
85,Freestyle
86,Calm Down
87,Gatubela
88,Evergreen
89,Pick Me Up
90,Gotta Move On
91,Perfect Timing
92,Country On
93,Snap
94,She Likes It
95,Made You Look
96,Dark Red
97,From Now On
98,Forget Me
99,Miss You
100,Despecha
